cluster_id,slot,weekday_kwh,weekend_kwh
Comfortable,3,0.13885918090197882,0.16472859051383398
Comfortable,4,0.13193376260349585,0.1442239790513834
Comfortable,5,0.12583946642134314,0.13759156785243742
Comfortable,6,0.11972434422457433,0.13026218708827406
Comfortable,7,0.11506255749770009,0.12279841897233201
Comfortable,8,0.11297976080956762,0.1190790513833992
Comfortable,9,0.11460975609756098,0.11856126469038208
Comfortable,10,0.11307869305108145,0.11704874835309619
Comfortable,11,0.12376816927322908,0.1295494072463768
Comfortable,12,0.14089650423183073,0.14432411040843215
Comfortable,13,0.17016237364305428,0.1507536234519104
Comfortable,14,0.19297700101195953,0.16208959156785244
Comfortable,15,0.2290726769549218,0.16775757575757577
Comfortable,16,0.2731366774505292,0.19114097496706192
Comfortable,17,0.276326126724931,0.229011857312253
Comfortable,18,0.25133118712051516,0.23646508537549404
Comfortable,19,0.2461872985273815,0.2651422927536232
Comfortable,20,0.2472083717571297,0.2882744067282322
Comfortable,21,0.2479931001379945,0.31706587562582345
Comfortable,22,0.24226218955841763,0.32057444057971013
Comfortable,23,0.2547525298528059,0.334397892226614
Comfortable,24,0.24508325662373504,0.31219104057971014
Comfortable,25,0.24114397396504142,0.3177035577075099
Comfortable,26,0.2472824287948482,0.33359288484848487
Comfortable,27,0.24846479535204785,0.34452173781291173
Comfortable,28,0.2431508739650414,0.3347641628458498
Comfortable,29,0.24174655004599815,0.32302371554677206
Comfortable,30,0.2493612515876668,0.32167061976284583
Comfortable,31,0.26171514012885416,0.3409446645586298
Comfortable,32,0.2702457434882651,0.3541884061923584
Comfortable,33,0.3046083756557754,0.3679841897233202
Comfortable,34,0.35337275674183155,0.3974426873517786
Comfortable,35,0.3879645653474459,0.4315098822134387
Comfortable,36,0.4071596863322596,0.43211330606060605
Comfortable,37,0.4237215828808099,0.45411198919631096
Comfortable,38,0.4353747703038674,0.4418774706192358
Comfortable,39,0.44450805342843996,0.4381226914248021
Comfortable,40,0.4127533363092499,0.4201912926121372
Comfortable,41,0.4029958564917127,0.4070910283641161
Comfortable,42,0.38775471721122867,0.39052110870712403
Comfortable,43,0.3791425944342226,0.3669168864116095
Comfortable,44,0.362956301425943,0.34570184656992087
Comfortable,45,0.35318361647491947,0.33576253298153036
Comfortable,46,0.3177203311867525,0.3046258231884058
Comfortable,47,0.26479990791168356,0.2774874836627141
